"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-06-30","0016.HK","HKD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",11754000000,0,0,6000000,0,0,0,0,0,-11760000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14226000000,0,14226000000,0,0,0,0,0
"2025-03-31","001720.KS","KRW","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",29688112000,3294818000,0,0,290566083000,0,0,0,290566083000,-37787466000,285761548000,-534709000,-939202000,-8291528000,0,-2357179000,-12122617000,59508698000,79508698000,-20000000000,46029941000,46029941000,46029941000,0,0,-1029413000,-1029413000,0,-420628431000,-316119205000,256188000,-42224086000,346332893000,388556979000,285761548000,-2891891000,282869657000,0,0
"2025-09-30","0029.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2025","Q4",-9000,0,0,0,2415000,0,0,0,2415000,-1872000,534000,-322000,0,-13437000,-5340000,3763000,-15336000,-19848000,-19848000,0,0,0,0,0,0,0,0,0,-10000,-19858000,17428000,-17232000,51017000,68249000,534000,-322000,212000,0,0
"2025-03-31","0035.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-335435000,0,0,0,1663577000,-59301000,1902701000,-247108000,67285000,466696000,1794838000,0,0,0,0,-28151000,-28151000,-1996357000,0,-1996357000,40813000,40813000,40813000,0,0,0,0,0,-23244000,-1978788000,-38901000,-251002000,2815883000,3066885000,1794838000,-396082000,1398756000,0,0
"2025-03-31","0052.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",20019000,261452999,0,831000,7099000,7899000,-1631000,0,831000,-9585999,279816000,-55371000,0,0,0,38512000,-16859000,5419000,0,5419000,0,0,0,0,0,-45344000,-45344000,0,-234239000,-274164000,-488000,-11695000,338178000,349873000,279816000,-55371000,224444999,0,16939000
"2025-06-30","0053.HK","USD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",283061075,0,0,2309893,0,0,0,0,0,-285370968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1541456000,0,1541456000,0,0,0,0,0
"2025-03-31","0057.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",89226000,29280000,0,413000,-522606000,-304096000,-120547000,0,-97963000,258776000,-144911000,-54315000,0,0,0,97370000,43055000,0,0,0,0,0,0,0,0,-23960000,-23960000,0,-1841000,-25801000,-99202000,-226859000,528179000,762235000,-158821000,-54315000,-213136000,0,1561000
"2025-06-30","0065.KL","MYR","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",486926,1101460,0,0,814602,-3571378,11000,0,4374980,1269012,3672000,-525587,0,0,0,-1094413,-1620000,-185000,-41000,-144000,0,0,0,0,0,608,608,0,-157608,-342000,-1573000,136770,22169770,22033000,3672000,-526000,3146000,0,0
"2025-06-30","0083.HK","HKD","0000000000","2025-06-30","2025-06-29 20:00:00","2025","Q4",2199000000,80000000,0,0,0,0,0,0,0,1744000000,4023000000,-87000000,1000000,-3593000000,-7406000000,-6000000,-11091000000,0,0,0,0,0,0,0,0,-288000000,0,0,108000000,-180000000,67000000,-7181000000,16849000000,24030000000,4023000000,-87000000,3936000000,0,0
"2025-09-30","0083.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2025","Q4",782000,6937000,0,0,6001000,-13742000,6290000,13453000,0,2568000,16288000,-5084000,0,0,0,274000,-4810000,6550000,122000,6428000,66000,66000,66000,0,0,0,0,0,-2479000,4137000,-605000,15010000,59787000,44777000,16288000,-5084000,11204000,0,0
"2025-09-30","0116.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2025","Q4",4220000,2697000,0,0,1035000,-1422000,343000,-2459000,4573000,-5987000,1965000,-3987000,0,0,0,3304000,-683000,0,0,0,0,0,0,0,0,0,0,0,-1463000,-1463000,-57000,-238000,9109000,9475000,1965000,-3987000,-2022000,0,0
"2025-07-31","0118.KL","MYR","0000000000","2025-07-31","2025-07-30 20:00:00","2025","Q4",1999000,3000,0,0,-1207000,0,0,-1185000,-22000,-1166000,-371000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,9000,16944000,16582000,16774000,192000,-371000,0,-371000,0,0
"2025-06-30","0122.HK","HKD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-11652000,9791000,0,0,0,0,0,0,0,-24301000,-26162000,-1132000,0,0,0,677000,-455000,-16858000,-16858000,0,0,0,0,0,0,0,0,0,-3619000,-20477000,-242000,109238000,109238000,0,-27722000,-1132000,-28854000,0,0
"2025-03-31","0129.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-3364498000,68360000,0,0,32712000,-404666000,228905000,0,208473000,4513542000,1250116000,-20898000,0,0,0,249740000,228842000,-1194856000,-1194391000,-465000,0,0,0,0,0,0,0,0,-3365000,-1198221000,-35010000,245727000,1452686000,1206959000,1250116000,-20898000,1229218000,0,1053791999
"2025-03-31","0150.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-41266000,13270000,0,331000,36878000,18899000,17979000,0,0,47040000,56253000,-4842000,0,0,0,-49588000,-54430000,0,0,0,-740000,-740000,0,-740000,0,-3676000,-3676000,0,-11079000,-15495000,-1818000,-15490000,107999000,123489000,56253000,-4842000,51411000,0,1036000
"2025-06-30","0159.HK","HKD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-15142,179,0,0,671,671,0,0,0,-8177708,-8192000,-3,0,0,0,2697003,2697000,8997000,8997000,0,0,0,0,0,0,0,0,0,-209000,8788000,-55000,3238000,5274000,2036,-8215,-3,-8218,0,129
"2025-06-30","0166.KL","MYR","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",45570000,33091000,0,6041000,-5468000,-25461000,1177000,18816000,0,2926000,82160000,-29410000,-9000,10162000,0,-84000,-19341000,0,0,0,0,0,0,0,0,0,0,0,-607000,-607000,-31345000,30867000,1733868000,1703001000,82160000,-29494000,52666000,0,0
"2025-03-31","0178.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",44565000,0,0,-111000,6837500,2773500,-3099500,0,7163500,82506500,133798000,0,0,0,0,-46086500,-46086500,0,0,0,0,0,0,0,0,-11637000,-11637000,0,-92409000,-104046000,-2068000,-337903000,0,337903000,133798000,-13348500,120449500,0,0
"2025-03-31","0179.HK","USD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",66595000,65793000,0,-1895500,6365000,-26381000,22036500,0,10709500,88449500,225307000,-48949000,-967000,0,0,-42361198,-92277198,3975169,0,3975169,14230,14230,0,14230,0,-10067500,-10067500,0,-21627888,-27705989,-14944984,102975000,790633000,687658000,225307000,-48949000,63704499,0,-10451000
"2025-09-30","0181.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2025","Q4",159000,2012000,0,59000,-17740000,-17760000,4022000,0,-4002000,-7414000,-22924000,-1403000,1000000,0,0,56000,-347000,17774000,0,17774000,0,0,0,0,0,0,0,0,-70000,17704000,5000,-5562000,15806000,21368000,-22924000,-1403000,-24327000,0,0
"2025-07-31","0191.HK","HKD","0000000000","2025-07-31","2025-07-30 20:00:00","2025","Q4",-1552333000,295263000,0,0,0,0,0,0,0,2203467000,946397000,-45408000,9657000,-552259000,-42068000,-19527000,-649605000,281088000,0,281088000,0,0,0,0,0,0,0,0,-141857000,139231000,-107090000,328933000,4305657000,3976724000,946397000,-45408000,900989000,0,0
"2025-07-31","0193.HK","HKD","0000000000","2025-07-31","2025-07-30 20:00:00","2025","Q4",-5909000,7623000,0,0,11893000,11347000,479000,-583000,650000,1206000,14813000,-2903000,0,0,0,0,-2903000,-13531000,0,-13531000,10377000,10377000,10377000,0,0,0,0,0,-1420000,-4574000,8374000,15710000,47772000,32061999,14813000,-2903000,11910000,0,0
"2025-09-30","0225.HK","HKD","0000000000","2025-09-30","2025-09-29 20:00:00","2025","Q4",-84699000,716000,0,0,0,0,0,0,0,111472000,27489000,-1511000,0,-30228000,42133000,556000,10950000,-19203000,0,-19203000,0,0,0,0,0,-4407000,0,0,0,-23610000,-108000,14721000,51474000,36753000,27489000,-1511000,25978000,0,0
"2025-06-30","0232.KL","MYR","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-968000,1533000,0,0,-263000,-1002000,739000,0,0,4252000,4554000,-7838000,0,0,0,-469000,-8307000,3474396,2204000,-248630,0,0,0,0,0,-366,-366,0,-3876030,-402000,-524000,-4678000,15424000,20102000,4554000,-7838000,-3284000,0,0
"2025-08-31","0238.KL","MYR","0000000000","2025-08-31","2025-08-30 20:00:00","2025","Q4",1338000,726000,0,0,-2128000,-3805000,148000,1529000,0,-1164000,-1228000,344000,-136000,94000,0,0,302000,394000,0,394000,0,0,0,0,0,-1293000,-1293000,0,344000,-555000,-65000,-1546000,5832000,7378000,-1228000,344000,-884000,0,0
"2025-03-31","0241.HK","CNY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",331737000,15595000,0,50170000,-2637500,-107688500,114460500,0,-9409500,21572000,416436500,1557000,0,0,0,-1864168000,-1862611000,0,0,0,-8671500,-8671500,0,-8671500,0,0,0,0,-25152500,-33824000,26398000,0,2218296000,3229062000,416436500,1557000,417993500,0,-742500
"2025-10-31","0267.KL","MYR","0000000000","2025-10-31","2025-10-30 20:00:00","2025","Q4",1410000,454000,0,0,-8718000,-11943000,2425000,800000,0,101000,-6753000,6748000,0,0,0,0,6748000,-6179000,0,-6179000,0,0,0,0,0,0,0,0,-66000,-6245000,-9197000,-15447000,9405000,24852000,-6753000,6748000,-5000,0,0
"2025-03-31","0276.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",-933744000,942674000,0,0,37544000,-67776000,-42191000,0,147511000,46335000,92809000,-78882000,0,0,0,2729000,-76153000,-235605000,0,-235605000,0,0,0,0,0,0,0,0,234237000,-1368000,-2460000,12828000,88283000,75455000,93358000,-78882000,14476000,0,1281000
"2025-03-31","0303.HK","USD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",69400000,27400000,0,4000000,-59100000,-49900000,-12800000,0,3600000,219699999,261399999,-12600000,0,0,0,400000,-12200000,0,0,0,-3700000,-3700000,0,-3700000,0,-43000000,-43000000,0,-10400000,-57100000,-6700000,-150200000,0,150200000,261399999,-12600000,248799999,0,3200000
"2025-03-31","0345.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",64159000,253618000,0,14115000,26230000,36626000,-12828000,0,2432000,-70950000,287172000,-67568000,0,0,0,-12047000,-79615000,-125715000,0,-125715000,-40595000,-40595000,0,-40595000,0,-42814000,-42814000,0,-59471000,-268595000,-9687000,-70725000,1268475000,1339200000,274161000,-67568000,206593000,0,16245000
"2025-03-31","0384.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",1490867000,1564541000,0,1445000,-872832000,-2453750000,398234000,0,1182684000,573617000,2757638000,-4637629000,-6185000,0,0,4325114000,-318700000,0,0,0,0,0,0,0,0,-2637765000,-2637765000,0,537842000,-2099922999,-674409000,-9188743000,0,9188743000,2757638000,-4637629000,-1879991000,0,2271042000
