"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","0016.HK","HKD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",79721000000,45531000000,34190000000,0,3336000000,5064000000,8400000000,-288000000,8112000000,53643000000,-2386000000,371000000,0,2562000000,28421000000,25859000000,219000000,26078000000,-1325000000,24753000000,4869000000,19884000000,0,0,19277000000,0,19277000000,6.65,6.65,2897780000,2897780000
"2025-03-31","001720.KS","KRW","0000000000","2025-03-31","2025-03-30 20:00:00","2025","FY",563594103150,211522077540,352072025610,0,30616332000,15903367000,46519699000,156313889960,202833588960,414355666500,100493691980,312015769520,211522077540,12777413000,162015849650,149238436650,0,149238436650,0,149238436650,36960252420,112278184220,0,0,108625211910,0,108625211910,13618,13618,8008000,8008000
"2025-09-30","0029.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2025","FY",47512000,10783000,36729000,0,14172000,0,14172000,0,14172000,24955000,-12519000,0,12519000,3628000,16474000,12846000,9711000,22557000,-22230000,327000,2326000,-1999000,0,0,-2340000,0,-2340000,-0.004,-0.004,585535851,585535851
"2025-03-31","0035.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",9572234000,7211581000,2360653000,0,1261127000,507249000,1768376000,20913000,1789289000,9000870000,-1033783000,49104000,995056000,488730000,586185000,97455000,473909000,571364000,-1468965000,-897601000,102094000,-999695000,0,0,-1002021000,0,-1275122000,-0.42,-0.42,3057846523,3059040000
"2025-09-30","003610.KS","KRW","0000000000","2025-09-30","2025-09-29 20:00:00","2025","FY",122527094000,0,0,0,0,0,0,121405786000,121405786000,121405786000,0,0,0,0,1121308000,1121308000,0,1121308000,8210249000,9331557000,2822063000,6509494000,0,0,6509494000,0,6509494000,203.1,203.1,32050964,32050964
"2025-11-30","004310.KS","KRW","0000000000","2025-11-30","2025-11-29 19:00:00","2025","FY",191794999000,0,0,0,0,0,0,187599178000,187599178000,187599178000,0,0,0,0,4195821000,4195821000,0,4195821000,-1824121000,2371700000,41462000,2330238000,0,0,2330238000,2330238000,0,72.82,0,0,0
"2025-03-31","0052.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",3100070000,2862864000,237206000,0,141868000,43680000,185548000,-20668000,164880000,3027744000,-9420000,24257000,33677000,522966000,595292000,72326000,0,72326000,-33677000,38649000,3109000,35540000,0,0,35540000,0,35540000,0.27,0.27,129553000,129553000
"2025-06-30","0053.HK","USD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",3113795355,2001929945,1111865410,0,635094063,0,635094063,-425988,634668075,2636598020,-266058298,0,266058298,93458881,836714515,743255634,-266058299,477197335,192856270,670053605,84318773,585734832,0,0,513464781,0,513464781,1.58,1.58,325317029,325317029
"2025-03-31","0057.HK","HKD","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",2594735000,1984983000,609752000,0,145401000,279851000,425252000,101605000,526857000,2511840000,-1561000,0,1561000,58558000,249744000,191186000,-108291000,82895000,106730000,189625000,35620000,154005000,0,0,154386000,0,154386000,0.24,0.24,630531600,630531600
"2025-06-30","0065.KL","MYR","0000000000","2025-06-30","2025-06-30 00:00:00","2025","FY",27386294,9285202,18101092,0,6970553,60606,7031159,3401393,10432552,19717754,-366860,0,366860,4378460,12107246,7728786,3400000,7668540,-306614,7361926,2287199,5074727,0,0,5074727,0,5074727,0.0083,0.0083,609878375,609878375
