"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","001720.KS","KRW","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",179746246000,45815484000,133930762000,0,6618092000,3918045000,10536137000,45996812000,56532949000,102348433000,23120628000,68936112000,45815484000,3307185000,80704998000,77397813000,0,77397813000,0,77397813000,16341938000,61055875000,0,0,59118734000,0,59118734000,7374,7374,8017000,8017000
"2025-09-30","0065.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q1",6956000,2887000,4069000,0,1790000,15000,1805000,532000,2337000,5224000,-84000,0,84000,1090000,2846000,1756000,-24000,1732000,-60000,1672000,468000,1204000,0,0,1204000,0,1204000,0.002,0.002,609878000,609878000
"2025-10-31","0118.KL","MYR","0000000000","2025-10-31","2025-10-30 20:00:00","2026","Q1",2057999,1806000,252000,0,0,0,196000,-135000,61000,1867000,-2000,0,2000,24000,215000,191000,0,191000,-2000,189000,0,189000,0,0,189000,0,189000,0,0,1308421000,1308421000
"2025-09-30","0166.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q1",325771000,259500000,66271000,0,24329000,0,24329000,0,24329000,283829000,14294000,14668000,374000,33063000,87532000,54469000,-14668000,41942000,12153000,54095000,3746000,50349000,0,0,51499000,0,51499000,0.0136,0.0136,3788974000,3792131000
"2025-09-30","0232.KL","MYR","0000000000","2025-09-30","2025-09-30 00:00:00","2026","Q1",24698000,19683000,5015000,0,4407000,322000,4729000,-151000,4578000,24261000,-391000,0,391000,1826000,2306000,480000,-194000,437000,-348000,89000,234000,-145000,0,0,-145000,0,-145000,-0.0008,-0.0008,181630000,181630000
"2025-06-30","0992.HK","USD","0000932477","2025-06-30","2025-06-30 00:00:00","2026","Q1",18830000000,16056000000,2774000000,524000000,0,0,1465000000,0,1989000000,18045000000,0,0,0,263210250,1048210250,785000000,0,785000000,-163000000,622000000,84000000,538000000,0,0,505000000,0,505000000,0.0412,0.0365,13835616438,13835616438
"2025-04-30","0A1O.L","USD","0001585521","2025-05-23","2025-05-23 16:02:04","2026","Q1",1174715000,278402000,896313000,205416000,102335000,346970000,449305000,0,654721000,933123000,0,0,0,35316000,351081000,315765000,-74173000,241592000,74173000,315765000,61162000,254603000,0,0,254603000,0,254603000,0.835,0.814,304909000,312784000
"2025-04-30","0A23.L","USD","0001412408","2025-05-28","2025-05-28 16:02:26","2026","Q1",115936000,38065000,77871000,31829000,16408000,26043000,42451000,6878000,81158000,119223000,-230000,205000,435000,6878000,4134000,-2744000,-543000,-3287000,108000,-3179000,735000,-3914000,0,0,-3914000,0,-3914000,-0.0664,-0.0664,58920782,58920782
"2025-06-30","0GFE.L","SEK","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",3355000000,438000000,2917000000,0,0,0,0,3174000000,3174000000,3612000000,10000000,42000000,32000000,983000000,479000000,-504000000,247000000,-257000000,-279000000,-536000000,-126000000,-410000000,0,0,-418000000,0,-418000000,-2.01,-2.01,208000000,208000000
"2025-09-30","0H8I.L","USD","0001138723","2025-11-05","2025-11-05 16:16:35","2026","Q1",93942000,67394000,26548000,11369000,14519000,11973000,26492000,0,37861000,105255000,-7780000,272000,8052000,2879000,-10276000,-13155000,1842000,-11313000,-9894000,-21207000,471000,-21678000,0,0,-21678000,0,-21678000,-0.18,-0.18,118946000,118946000
