"symbol","date","open","low","high","close","adjClose","volume"
"EMAXUSD","2026-01-10",2.6011185e-10,2.6011185e-10,2.6216299e-10,2.6083863e-10,2.6083863e-10,31
"USDTUSD","2026-01-10",0.99862,0.99856,0.999,0.99873,0.99873,47687950336
"SWISEUSD","2026-01-10",0.00650882,0.00650882,0.0065513,0.00654961,0.00654961,59
"ZGDUSD","2026-01-10",0.038949,0.03894357,0.03895458,0.03894941,0.03894941,30
"XETUSD","2026-01-10",0.000062586641,0.00006173,0.00006465,0.00006301,0.00006301,22
"ELAUSD","2026-01-10",1.06362,1.03929,1.07017,1.051,1.051,690020
"FLIPUSD","2026-01-10",0.3981,0.39497,0.39874,0.39624,0.39624,181982
"MNWUSD","2026-01-10",0.08518144,0.08484398,0.08715978,0.086843,0.086843,350
"PCNTUSD","2026-01-10",0.00211438,0.00211438,0.00211438,0.00211438,0.00211438,1
"XCASHUSD","2026-01-10",0.000001723543,0.000001723543,0.000001723543,0.000001723543,0.000001723543,0
"FLUXUSD","2026-01-10",0.10929,0.10712,0.10955,0.10932,0.10932,2030682
"LDOUSD","2026-01-10",0.63726,0.62682,0.6462,0.63696,0.63696,24493546
"GDXUSD","2026-01-10",0.07894226,0.07894226,0.07894226,0.07894226,0.07894226,5
"RACAUSD","2026-01-10",0.00002507245,0.000024999325,0.000025981537,0.00002575,0.00002575,1227663
"RICEUSD","2026-01-10",0.00221603,0.00199855,0.002482,0.00233092,0.00233092,1355
"PNGUSD","2026-01-10",0.04185,0.03953,0.043,0.04105775,0.04105775,627645
"VERSAUSD","2026-01-10",0.00330481,0.00330481,0.00330481,0.00330481,0.00330481,14
"GYMNETUSD","2026-01-10",0.01274577,0.01205028,0.01285855,0.01268316,0.01268316,5367
"BABYFLOKIUSD","2026-01-10",2.1501292e-10,2.1501292e-10,2.1762492e-10,2.1762492e-10,2.1762492e-10,12
"WRLDUSD","2026-01-10",0.00025309232,0.00025309232,0.00025309232,0.00025309232,0.00025309232,8
"WACMEUSD","2026-01-10",0.0007094644,0.0007094644,0.0007094644,0.0007094644,0.0007094644,0
"TROYUSD","2026-01-10",0.00007126732,0.00007053594,0.00007707077,0.00007472,0.00007472,52844
"PRIMATEUSD","2026-01-10",0.00183709,0.00180429,0.00183709,0.00181097,0.00181097,24
"PZPUSD","2026-01-10",0.00478605,0.00475027,0.0048166,0.00477901,0.00477901,248796
"ELFUSD","2026-01-10",0.10727,0.10727,0.13587,0.1158,0.1158,34583724
"EOSUSD","2026-01-10",0.17519,0.17323,0.17896,0.17896,0.17896,77655
"CNBUSD","2026-01-10",0.000025846368,0.000025846368,0.000025846368,0.000025846368,0.000025846368,0
"AFRUSD","2026-01-10",0.0006247004,0.00060252,0.0006395162,0.00060521,0.00060521,99
"SOKUUSD","2026-01-10",0.000012159124,0.000012159124,0.000012245134,0.000012245134,0.000012245134,2
"CYTUSD","2026-01-10",0.0005412754,0.0005412754,0.00054927927,0.00054779,0.00054779,68
"JIMUSD","2026-01-10",0.000001299379,0.000001299379,0.000001299379,0.000001299379,0.000001299379,6
"WQTUSD","2026-01-10",0.000002200678,0.00000219,0.0000022,0.00000219,0.00000219,10
"MIOTAUSD","2026-01-10",0.10883,0.10167,0.10883,0.10228,0.10228,8132004
"KDGUSD","2026-01-10",0.000082161416,0.000082161416,0.00008241022,0.00008241022,0.00008241022,12
"JAMUSD","2026-01-10",0.000055247092,0.00005504234,0.000057539077,0.000056834724,0.000056834724,52991
"JRTUSD","2026-01-10",0.00173174,0.00171878,0.00173797,0.00173756,0.00173756,33
"QUBEUSD","2026-01-10",0.00542496,0.00537892,0.00544077,0.00542293,0.00542293,14
"LYXEUSD","2026-01-10",0.50495,0.50495,0.50495,0.50495,0.50495,2252
"FTTUSD","2026-01-10",0.49821,0.48813,0.5114,0.50391,0.50391,3056002
"WRXUSD","2026-01-10",0.04463042,0.04380757,0.04890814,0.04573573,0.04573573,34618
"GODSUSD","2026-01-10",0.05911,0.059,0.06347,0.060231,0.060231,1962174
"AG8USD","2026-01-10",0.00776184,0.00776184,0.00776184,0.00776184,0.00776184,3427
"JADEUSD","2026-01-10",0.000801892,0.0007970558,0.00082048646,0.00082048646,0.00082048646,369
