"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2000-03-31","000153.SZ","CNY","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",23591948,15250981,8340967,0,1882962,1039431,2922393,-11940.47,3087919,18338901,-785018.07,0,785018,918813,5253046,5253046,-918813,4334233,-11940,4322293,1348719,2973573,0,0,2973573,0,2973573,0.0199,0.0199,149597322,149597322
"2000-03-31","0005.HK","USD","0001089113","2000-03-31","2000-03-30 19:00:00","2000","Q1",0,0,0,0,0,0,0,1763000000,1763000000,1763000000,0,0,0,0,1763000000,0,0,1763000000,0,0,-1763000000,1763000000,0,0,1763000000,0,1763000000,0.18,0.18,9633803000,9820867000
"2000-03-31","0024.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",650426250,612549750,37876500,0,8480000,9099000,17579000,14524000,32103000,644652750,0,0,5756250,4033750,9807250,9948500,-4175000,5773500,-1581250,4192250,1337250,2855000,0,0,2855000,0,2855000,0.0032,0.0031,902992890,920228639
"2000-03-31","0047.HK","CNY","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",1284553993,171311285,1113242707,0,21190837,8981764,30172601,1069321317,1099493918,1270805204,-8053959,0,8053959,-8053959.86075325,5694828,13748788,0,13748788,-8053959.86075325,5694828,368100,5326728,0,0,5326728,0,5326728,0.0109,0.0109,490935625,490935625
"2000-03-31","005490.KS","KRW","0000889132","2000-03-31","2000-03-30 19:00:00","2000","Q1",3006940264765,0,3006940264765,0,0,0,0,0,0,0,0,0,0,0,3006940264765,3006940264765,0,3006940264765,-3006940264765.06,0,-356581858321.5,356581858321,0,0,356581858321,0,356581858321,4176.11,4176.11,85386205,85386205
"2000-03-31","015760.KS","KRW","0000887225","2000-03-31","2000-03-30 19:00:00","2000","Q1",4676991149320,0,4676991149320,0,0,0,0,0,0,0,0,0,0,0,4676991149320,4676991149320,0,4676991149320,-4676991149320,0,-370575221150,370575221150,0,0,370575221150,0,370575221150,580.09,580.09,638825324,638825324
"2000-03-31","017670.KS","KRW","0001015650","2000-03-31","2000-03-30 19:00:00","2000","Q1",1620237831469,0,1620237831469,0,0,0,0,0,0,0,0,0,0,0,1620237831469,1620237831469,0,1620237831469,-1620237831469.55,0,-212216814108.36,212216814108,0,0,212216814108,0,212216814108,802.03,802.03,264599059,264599059
"1999-06-30","0179.HK","USD","0000000000","1999-06-30","1999-06-29 20:00:00","2000","Q1",91867971,54843658,37024313,0,0,0,0,0,0,54843658,0,0,0,-9228915.600482002,27795397,37024312,0,37024312,-9228915.600482002,27795397,1389781,0,0,0,26405615,0,26405615,0.11,0.11,229735971,229735971
"2000-03-31","0190.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",473125000,537450000,-64325000,0,26750000,-12650000,14100000,0,14100000,551550000,0,0,214550000,-214550000,-292975000,-78425000,0,-78425000,-214550000,-292975000,-4775000,-288200000,0,0,-288200000,0,-288200000,-11.73,-11.73,24579524,24579524
"2000-03-31","0208.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",4343750,4400000,-56250,0,7417000,2332750,9749750,13083000,22832750,27232750,0,0,16328250,-16328250,-39217250,-22889000,0,-22889000,-16328250,-39217250,-9500,-39207750,0,0,-39207750,0,-39207750,-0.81,-0.81,48683396,48683396
"2000-03-31","0231.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",29884250,23071000,6813250,0,8713750,863000,9576750,16299250,25876000,48947000,0,0,-5199000,5199000,-13863750,-19062750,0,-19062750,5199000,-13863750,161500,-14025250,0,0,-14025250,0,-14025250,-0.0914,-0.0914,153521242,153521242
"2000-03-31","0250.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",71418750,63239250,8179500,0,18023250,13216250,31239500,0,31239500,94478750,-19872250,0,19872250,1199000,34497750,33439750,-141000,33298750,-19731250,13567500,1429750,12137750,0,0,12137750,0,12137750,0.0039,0.0039,3100181091,3100181091
"2000-03-31","0281.HK","HKD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",238250,129750,108500,0,694000,0,694000,0,694000,823750,-2789000,0,2789000,10750,6815250,6804500,0,6804500,-2789000,4015500,1155000,2860500,0,0,2860500,0,2860500,0.0022,0.0021,1291993677,1346117647
"2000-03-31","02M.DE","USD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",620800000,411000000,209800000,0,35300000,0,35300000,56200000,91500000,502500000,-41900000,0,41900000,56200000,175200000,159500000,-41200000,118300000,-41200000,77100000,28900000,48200000,0,0,48200000,0,48200000,0.42,0.42,114400000,114600000
"2000-03-31","030200.KS","KRW","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",3168749999239,0,3168749999239,0,0,0,0,0,0,0,0,0,0,0,3168749999239,3168749999239,0,3168749999239,-3168749999239.5,0,-291095132673.5,291095132673,0,0,291095132673,0,291095132673,951.33,951.33,305988372,305988372
"2000-03-31","0338.HK","CNY","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",4681287352,0,4681287352,0,0,0,0,0,0,0,0,0,0,0,4681287352,4681287352,0,4681287352,-4681287352.32,0,-207150673.92,207150673,0,0,207150673,0,207150673,0.0129,0.0129,16086857143,16086857143
"2000-06-30","0353.HK","HKD","0000000000","2000-06-30","2000-06-29 20:00:00","2000","Q1",81673250,53063750,28609500,0,4625750,2369250,6995000,-289250,6705750,59769500,-166750,0,166750,3396250,25361000,21903750,0,21903750,-166750,21737000,6016000,,0,,15782000,,15782000,0.46,0.46,34250000,34250000
